"","HGNC.ID"
"471","HGNC:3004"
"472","HGNC:861"
"473","HGNC:925"
"474","HGNC:28688"
"475","HGNC:18830"
"476","HGNC:18291"
"477","HGNC:17276"
"478","HGNC:25552"
"479","HGNC:26186"
"480","HGNC:34345"
"481","HGNC:6393"
"482","HGNC:10441"
"483","HGNC:17106"
"484","HGNC:2154"
"485","HGNC:32315"
"486","HGNC:27145"
"487","HGNC:26117"
"488","HGNC:29299"
"489","HGNC:28242"
"490","HGNC:11732"
"491","HGNC:27003"
"492","HGNC:380"
"493","HGNC:7644"
"494","HGNC:26574"
"495","HGNC:28843"
"496","HGNC:28035"
"497","HGNC:6108"
"498","HGNC:19035"
"499","HGNC:8981"
"500","HGNC:20657"
"501","HGNC:32327"
"502","HGNC:16917"
"503","HGNC:12590"
"504","HGNC:31802"
"505","HGNC:3553"
"506","HGNC:19026"
"507","HGNC:26488"
"508","HGNC:7110"
"509","HGNC:29800"
"510","HGNC:18803"
"511","HGNC:29589"
"512","HGNC:29051"
"513","HGNC:2644"
"514","HGNC:2642"
"515","HGNC:20244"
"516","HGNC:20583"
"517","HGNC:20575"
"518","HGNC:16887"
"519","HGNC:18170"
"520","HGNC:3803"
"521","HGNC:44200"
"522","HGNC:22146"
"523","HGNC:18309"
"524","HGNC:25892"
"525","HGNC:25668"
"526","HGNC:3315"
"527","HGNC:13908"
"528","HGNC:3578"
"529","HGNC:28096"
"530","HGNC:10056"
"531","HGNC:18657"
"532","HGNC:3419"
"533","HGNC:16386"
"534","HGNC:7995"
"535","HGNC:9778"
"536","HGNC:24626"
"537","HGNC:25160"
"538","HGNC:30547"
"539","HGNC:6775"
"540","HGNC:29386"
"541","HGNC:25930"
"542","HGNC:28981"
"543","HGNC:4559"
"544","HGNC:28757"
"545","HGNC:25820"
"546","HGNC:32058"
"547","HGNC:23408"
"548","HGNC:23174"
"549","HGNC:10945"
"550","HGNC:26059"
"551","HGNC:6815"
"552","HGNC:6700"
"553","HGNC:13913"
"554","HGNC:29525"
"555","HGNC:25525"
"556","HGNC:25231"
"557","HGNC:2883"
"558","HGNC:25019"
"559","HGNC:28792"
"560","HGNC:32069"
"561","HGNC:1239"
"562","HGNC:26494"
"563","HGNC:27297"
"564","HGNC:32220"
"565","HGNC:14034"
"566","HGNC:15674"
"567","HGNC:18156"
"568","HGNC:25032"
"569","HGNC:24802"
"570","HGNC:12394"
"571","HGNC:30563"
"572","HGNC:26067"
"573","HGNC:26854"
"574","HGNC:27296"
"575","HGNC:12623"
"576","HGNC:9229"
"577","HGNC:9377"
"578","HGNC:27295"
"579","HGNC:29661"
"580","HGNC:29401"
"581","HGNC:6204"
"582","HGNC:25610"
"583","HGNC:19884"
"584","HGNC:2634"
"585","HGNC:28547"
"586","HGNC:24142"
"587","HGNC:28881"
"588","HGNC:25595"
"589","HGNC:27263"
"590","HGNC:12607"
"591","HGNC:16040"
"592","HGNC:3804"
"593","HGNC:6157"
